Catalog Number	Species	Collector	Collection Date	Location
125530	1241611 Veronica scutellata 		 Plantaginaceae	Elizabeth C. Almendinger	: 07/09/1861
125531	1241613 Veronica scutellata 		 Plantaginaceae	Branson A. Walpole	: 06/17/1918
125543	1240477 Scrophularia marilandica 		 Scrophulariaceae	George B. Sudworth	196: 07/15/1884
125553	1241429 Veronica filiformis 		 Plantaginaceae	Anton A. Reznicek	4937: 05/11/1978
125555	1241431 Veronica filiformis 		 Plantaginaceae	Howard A. Crum	: 05/07/1981
125575	1243036 Plantago cordata 		 Plantaginaceae	John H. Ehlers	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
125576	1243028 Plantago cordata 		 Plantaginaceae	John H. Ehlers	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
125628	1240454 Scrophularia marilandica 		 Scrophulariaceae		: 07/00/1866
125632	1240493 Verbascum blattaria 		 Scrophulariaceae	Carl D. LaRue	: 09/09/1915
125676	1243135 Plantago lanceolata 		 Plantaginaceae	Mark W. Harrington	: 07/20/1870
125695	1240900 Veronica arvensis 		 Plantaginaceae	Carl D. LaRue	: 06/26/1915
125698	1240903 Veronica arvensis 		 Plantaginaceae		: 05/25/1870
125702	1240461 Scrophularia marilandica 		 Scrophulariaceae	A.J. Pieters	: 08/10/1892
125735	1240574 Verbascum thapsus 		 Scrophulariaceae	P.B. Taylor	: 05/20/1903
125786	1240572 Verbascum thapsus 		 Scrophulariaceae	George B. Sudworth	191: 07/13/1884
125798	1240932 Veronica arvensis 		 Plantaginaceae	Elizabeth C. Almendinger	: 06/01/1861
125806	1241576 Veronica scutellata 		 Plantaginaceae	Peter W. Fritsch	329: 09/14/1986
125837	1240502 Verbascum blattaria 		 Scrophulariaceae	A.J. Pieters	: 08/04/1894
125885	1240939 Veronica arvensis 		 Plantaginaceae	A.J. Pieters	301: 06/13/1892
125886	1240896 Veronica arvensis 		 Plantaginaceae	George B. Sudworth	175: 06/15/1884
125891	1243104 Plantago lanceolata 		 Plantaginaceae	George B. Sudworth	66: 06/09/1884
125892	1240591 Verbascum thapsus 		 Scrophulariaceae	Elizabeth C. Almendinger	: 07/16/1860
125898	1240597 Verbascum thapsus 		 Scrophulariaceae	Carl D. LaRue	: 07/26/1915
125923	1240824 Veronica anagallis-aquatica 		 Plantaginaceae	Oliver A. Farwell	8438: 06/25/1929
125929	1240838 Veronica anagallis-aquatica 		 Plantaginaceae	Elizabeth C. Almendinger	: 07/13/1861
125931	1240840 Veronica anagallis-aquatica 		 Plantaginaceae	A.J. Pieters	: 08/08/1892
125932	1240841 Veronica anagallis-aquatica 		 Plantaginaceae	F.G. Gustafson	: 07/22/1923
125951	1240633 Veronica anagallis-aquatica 		 Plantaginaceae	A.B. Lyons, M.D.	: 00/00/1867
125157	1240474 Scrophularia marilandica 		 Scrophulariaceae	Elizabeth C. Almendinger	: 07/06/1860
125168	 Conopholis americana 		 Orobanchaceae	John H. Schaffner	: 05/26/1895
125182	1240331 Penstemon hirsutus 		 Plantaginaceae	Peter W. Fritsch	190: 06/05/1986
125184	1240828 Veronica anagallis-aquatica 		 Plantaginaceae	George B. Sudworth	227: 08/01/1884
125197	1243037 Plantago cordata 		 Plantaginaceae	Carl O. Erlanson	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
125218	1240257 Pedicularis lanceolata 		 Orobanchaceae	Peter W. Fritsch	88: 08/25/1985
125220	1240198 Pedicularis canadensis 		 Orobanchaceae	Frederick J. Hermann	55: 05/06/1926
125223	1240197 Pedicularis canadensis 		 Orobanchaceae	Carl D. LaRue	: 05/15/1915
125225	1240199 Pedicularis canadensis 		 Orobanchaceae	John H. Ehlers	666: 05/18/1918
125226	1240194 Pedicularis canadensis 		 Orobanchaceae	Julius P Romein	: 04/28/1915
