Catalog Number	Species	Collector	Collection Date	Location
125136	1240352 Penstemon hirsutus 		 Plantaginaceae	Lewis E. Foote	: 05/23/1863
124038	1230098 Chelone glabra 		 Plantaginaceae	Carl D. LaRue	: 09/22/1915
124156	1230327 Linaria vulgaris 		 Plantaginaceae	Carl D. LaRue	: 07/26/1915
124165	1240186 Pedicularis canadensis 		 Orobanchaceae	Peter W. Fritsch	139: 05/03/1986
124185	1242839 Utricularia vulgaris 		 Lentibulariaceae	Frederick J. Hermann	6896: 07/14/1935
124194	1230093 Chelone glabra 		 Plantaginaceae	John H. Ehlers	5526: 09/15/1933
124267	1230136 Collinsia verna 		 Plantaginaceae	Elizabeth C. Almendinger	: 00/00/1861
125979	 Trientalis borealis 		 Myrsinaceae	Calvin H. Kauffman	: 06/30/1926
125992	1241600 Veronica scutellata 		 Plantaginaceae	Nathan H. Winchell	: 06/15/1862
126028	1241560 Veronica polita 		 Plantaginaceae		: 05/25/1870
126032	1241512 Veronica peregrina 		 Plantaginaceae	Frederick J. Hermann	144: 05/26/1926
126033	1241559 Veronica polita 		 Plantaginaceae	Mary H. Clark	: 05/25/1879
126045	1241455 Veronica officinalis 		 Plantaginaceae	John H. Ehlers	1481: 06/06/1921
126347	1241970 Veronicastrum virginicum 		 Plantaginaceae	A.B. Lyons, M.D.	: 00/00/1867
126350	1241955 Veronicastrum virginicum 		 Plantaginaceae		: 07/00/1866
126403	 Lysimachia ciliata 		 Myrsinaceae	C. Marvin Rogers	3701: 07/14/1946
126414	1491594 Castilleja coccinea 		 Orobanchaceae	Lewis E. Foote	: 05/19/1862
126437	 Pedicularis lanceolata 		 Orobanchaceae	Ray C. Friesner	: 09/04/1918
126440	1240333 Penstemon hirsutus 		 Plantaginaceae	Lewis E. Foote	: 05/26/1862
126442	 Asclepias incarnata 		 Apocynaceae	C. Marvin Rogers	3712: 07/14/1946
126456	1241639 Veronica serpyllifolia 		 Plantaginaceae	Carl O. Grassl	4823: 06/08/1932
126458	1241641 Veronica serpyllifolia 		 Plantaginaceae	Carl O. Grassl	5273: 05/25/1933
126501	 Trientalis borealis 		 Myrsinaceae	C. Marvin Rogers	3493: 05/17/1946
126604	 Lysimachia quadriflora 		 Myrsinaceae	C. Marvin Rogers	3828: 07/27/1946
126607	 Pedicularis canadensis 		 Orobanchaceae	Frederick J. Hermann	8556: 05/19/1937
126618	 Vaccinium oxycoccos 		 Ericaceae	C. Marvin Rogers	4015: 08/31/1946
126623	 Vaccinium myrtilloides 		 Ericaceae	C. Marvin Rogers	3529: 05/03/1946
126638	 Vaccinium corymbosum 		 Ericaceae	C. Marvin Rogers	3528: 05/03/1946
126652	 Vaccinium corymbosum 		 Ericaceae	C. Marvin Rogers	3997: 05/17/1946
126667	 Chelone glabra 		 Plantaginaceae	Ray C. Friesner	: 09/14/1918
126668	 Chelone glabra 		 Plantaginaceae	Frederick J. Hermann	9268: 09/14/1937
126682	 Chamaedaphne calyculata 		 Ericaceae	C. Marvin Rogers	3552: 04/19/1946
126726	 Monotropa uniflora 		 Ericaceae	C. Marvin Rogers	3841: 07/21/1946
126764	 Gentiana andrewsii 		 Gentianaceae	C. Marvin Rogers	5514: 09/18/1947
126786	 Gentianopsis virgata 		 Gentianaceae	C. Marvin Rogers	5502: 09/18/1947
126837	 Bartonia virginica 		 Gentianaceae	C. Marvin Rogers	3853: 08/07/1946
126853	 Convolvulus arvensis 		 Convolvulaceae	C. Marvin Rogers	3804: 07/27/1946
126877	 Phlox divaricata 		 Polemoniaceae	C. Marvin Rogers	3530: 04/28/1946
126906	 Phlox divaricata 		 Polemoniaceae	C. Marvin Rogers	3524: 04/28/1946
126965	 Lysimachia ciliata 		 Myrsinaceae	C. Marvin Rogers	7992: 10/11/1951
127058	 Verbena hastata 		 Verbenaceae	C. Marvin Rogers	7991: 10/11/1951
127082	 Glechoma hederacea 		 Lamiaceae	C. Marvin Rogers	3550: 04/22/1946
127112	 Verbena urticifolia 		 Verbenaceae	C. Marvin Rogers	3852: 08/07/1946
127121	 Myosotis verna 		 Boraginaceae	C. Marvin Rogers	3918: 05/17/1946
127132	 Lycopus uniflorus 		 Lamiaceae	C. Marvin Rogers	3861: 08/07/1946
127145	 Lithospermum caroliniense 		 Boraginaceae	C. Marvin Rogers	3573: 06/04/1946
127221	 Physostegia virginiana 		 Lamiaceae	C. Marvin Rogers	7972: 10/11/1951
127239	 Verbena stricta 		 Verbenaceae	C. Marvin Rogers	3830: 07/27/1946
127256	 Mimulus ringens 		 Phrymaceae	C. Marvin Rogers	7993: 10/11/1951
127282	 Lamium amplexicaule 		 Lamiaceae	C. Marvin Rogers	3539: 04/28/1946
127316	 Pycnanthemum virginianum 		 Lamiaceae	C. Marvin Rogers	4029: 07/27/1946
127387	 Scutellaria lateriflora 		 Lamiaceae	C. Marvin Rogers	3802: 07/27/1946
127395	 Agalinis purpurea 		 Orobanchaceae	C. Marvin Rogers	3787: 08/17/1946
127399	 Prunella vulgaris 		 Lamiaceae	C. Marvin Rogers	3838: 07/21/1946
127403	 Physalis longifolia 		 Solanaceae	C. Marvin Rogers	5470: 09/17/1947
127434	 Scrophularia marilandica 		 Scrophulariaceae	C. Marvin Rogers	3839: 07/21/1946
127448	 Veronica arvensis 		 Plantaginaceae	C. Marvin Rogers	3495: 05/17/1946
127452	 Veronica anagallis-aquatica 		 Plantaginaceae	C. Marvin Rogers	3922: 07/14/1946
127502	 Nepeta cataria 		 Lamiaceae	C. Marvin Rogers	3761: 07/14/1946
127553	 Pedicularis lanceolata 		 Orobanchaceae	C. Marvin Rogers	3893: 08/17/1946
127601	 Solanum rostratum 		 Solanaceae	Cecil Billington	: 09/30/1917
127617	 Chaenorhinum minus 		 Plantaginaceae	C. Marvin Rogers	3810: 07/27/1946
127661	 Verbascum thapsus 		 Scrophulariaceae	C. Marvin Rogers	7976: 10/11/1951
127685	 Linaria vulgaris 		 Plantaginaceae	C. Marvin Rogers	3741: 07/14/1946
127707	 Veronica serpyllifolia 		 Plantaginaceae	C. Marvin Rogers	3494: 05/17/1946
127730	 Veronica scutellata 		 Plantaginaceae	C. Marvin Rogers	4018: 08/31/1946
127732	1243381 Cephalanthus occidentalis 		 Rubiaceae	A.B. Lyons, M.D.	: 00/00/1867
127740	1243983 Galium pilosum 		 Rubiaceae	Mark W. Harrington	: 00/00/1869
127776	1243825 Galium lanceolatum 		 Rubiaceae	Elizabeth C. Almendinger	: 07/09/1862
127784	1243841 Galium lanceolatum 		 Rubiaceae		: 07/01/1869
127793	1243366 Cephalanthus occidentalis 		 Rubiaceae	A.J. Pieters	: 08/11/1913
127812	1243755 Galium concinnum 		 Rubiaceae	Carl D. LaRue	: 07/22/1915
127813	1243756 Galium concinnum 		 Rubiaceae	Frederick J. Hermann	6859: 07/10/1935
127844	 Aureolaria flava 		 Orobanchaceae	C. Marvin Rogers	3791: 08/17/1946
127853	1243761 Galium concinnum 		 Rubiaceae	A.B. Lyons, M.D.	: 00/00/1868
127862	1243599 Galium boreale 		 Rubiaceae	W.S. Cheever	: 00/00/1886
127864	1243602 Galium boreale 		 Rubiaceae	Volney M. Spalding	: 06/09/1880
127918	 Plantago rugelii 		 Plantaginaceae	C. Marvin Rogers	5458: 09/17/1947
127942	 Penstemon hirsutus 		 Plantaginaceae	C. Marvin Rogers	3610: 05/28/1946
127967	 Veronica peregrina 		 Plantaginaceae	C. Marvin Rogers	3540: 04/28/1946
128004	1244154 Galium trifidum 		 Rubiaceae	F.G. Gustafson & M. Best	: 08/20/1924
128061	1243768 Galium labradoricum 		 Rubiaceae	Elizabeth C. Almendinger	: 05/27/1860
128070	1243625 Galium boreale 		 Rubiaceae	A.B. Lyons, M.D.	: 00/00/1867
128073	1243627 Galium boreale 		 Rubiaceae	Carl D. LaRue	: 06/17/1915
128082	1243428 Galium aparine 		 Rubiaceae	Julius P Romein	: 05/07/1915
128083	1243429 Galium aparine 		 Rubiaceae	Carl D. LaRue	: 06/13/1915
128095	1243766 Galium labradoricum 		 Rubiaceae	Calvin H. Kauffman	: 06/27/1926
128111	1243375 Cephalanthus occidentalis 		 Rubiaceae	Elizabeth C. Almendinger	: 08/09/1860
128123	1243483 Galium aparine 		 Rubiaceae	Peter W. Fritsch	144: 05/03/1986
128137	1243335 Cephalanthus occidentalis 		 Rubiaceae	Mark W. Harrington	: 00/00/1869
128138	1243336 Cephalanthus occidentalis 		 Rubiaceae	Carl O. Erlanson	868: 10/16/1924
128143	1243840 Galium lanceolatum 		 Rubiaceae	Carl D. LaRue	: 07/14/1915
128151	1243620 Galium boreale 		 Rubiaceae	Peter W. Fritsch	412: 06/14/1987
128152	1243598 Galium boreale 		 Rubiaceae	Elizabeth C. Almendinger	: 06/09/1860
128168	1243909 Galium obtusum 		 Rubiaceae	John H. Ehlers	710: 06/07/1918
128172	1243681 Galium circaezans 		 Rubiaceae	Elizabeth C. Almendinger	: 06/22/1861
128188	1243648 Galium boreale 		 Rubiaceae	Carl D. LaRue	: 07/07/1915
128200	1243980 Galium pilosum 		 Rubiaceae	Elizabeth C. Almendinger	: 07/24/1861
128208	1243353 Cephalanthus occidentalis 		 Rubiaceae	Carl D. LaRue	: 07/25/1915
128214	1243490 Galium aparine 		 Rubiaceae	Carl O. Grassl	3857: 05/30/1932
128217	1243418 Galium aparine 		 Rubiaceae	Frederick J. Hermann	112: 05/17/1926
128222	1243685 Galium circaezans 		 Rubiaceae	A.J. Pieters	: 08/20/1892
128224	1243687 Galium circaezans 		 Rubiaceae	Carl D. LaRue	: 07/02/1915
128227	1243621 Galium boreale 		 Rubiaceae	Peter W. Fritsch	245: 07/03/1986
128235	1243432 Galium aparine 		 Rubiaceae	Elizabeth C. Almendinger	: 05/26/1860
128236	1243433 Galium aparine 		 Rubiaceae	A.J. Pieters	: 05/15/1893
128239	1243436 Galium aparine 		 Rubiaceae	Paul J. Podolski	6: 07/02/1917
128240	1243437 Galium aparine 		 Rubiaceae	Eileen W. Erlanson	940: 05/27/1925
128241	1243438 Galium aparine 		 Rubiaceae	Miss E. Penfield	: 05/26/1909
128246	1243443 Galium aparine 		 Rubiaceae	S.H. Emerson	: 05/13/1925
128247	1243444 Galium aparine 		 Rubiaceae	John H. Ehlers	709: 06/07/1918
128248	1243445 Galium aparine 		 Rubiaceae	John H. Ehlers	668: 05/20/1918
128253	1243588 Galium boreale 		 Rubiaceae	Carl D. LaRue	: 06/26/1915
128266	1243719 Galium circaezans 		 Rubiaceae	Peter W. Fritsch	223: 06/26/1986
128289	1243748 Galium concinnum 		 Rubiaceae	Carl D. LaRue	: 07/03/1915
128292	1243751 Galium concinnum 		 Rubiaceae	George B. Sudworth	114: 06/22/1884
128308	1243640 Galium boreale 		 Rubiaceae	George B. Sudworth	113: 06/22/1884
128332	1243829 Galium lanceolatum 		 Rubiaceae	John Wright	s.n.: 06/26/1838
128358	1243514 Galium asprellum 		 Rubiaceae	A.B. Lyons, M.D.	: 00/00/1867
128363	1243531 Galium asprellum 		 Rubiaceae	A.J. Pieters	: 08/17/1892
128367	1243535 Galium asprellum 		 Rubiaceae	Mark W. Harrington	: 00/00/1868
128373	1243541 Galium asprellum 		 Rubiaceae	Carl D. LaRue	: 07/14/1915
128377	1243842 Galium lanceolatum 		 Rubiaceae	Paul J. Podolski	5: 07/02/1917
128386	1243743 Galium concinnum 		 Rubiaceae	John H. Ehlers	3593: 10/08/1927
128389	1243746 Galium concinnum 		 Rubiaceae	Carl D. LaRue	: 07/02/1915
128390	1243747 Galium concinnum 		 Rubiaceae	Carl D. LaRue	: 07/14/1915
128394	1243889 Galium obtusum 		 Rubiaceae	Carl D. LaRue	: 08/14/1915
128410	1243742 Galium concinnum 		 Rubiaceae	Elizabeth C. Almendinger	: 07/09/1862
128473	1243734 Galium concinnum 		 Rubiaceae		: 06/00/1872
128476	1243731 Galium concinnum 		 Rubiaceae	John Wright	s.n.: 06/19/1838
128489	1243873 Galium lanceolatum 		 Rubiaceae	A.B. Lyons, M.D.	: 00/00/1867
128490	1243872 Galium lanceolatum 		 Rubiaceae	A.B. Lyons, M.D.	: 00/00/1867
128500	1243577 Galium boreale 		 Rubiaceae	Frederick J. Hermann	6809: 06/25/1935
128514	1244031 Galium tinctorium 		 Rubiaceae	Carl O. Erlanson	2318: 07/31/1926
128541	1244075 Galium tinctorium 		 Rubiaceae	Carl D. LaRue	: 08/07/1915
128553	1243901 Galium obtusum 		 Rubiaceae	Calvin H. Kauffman	: 07/13/1926
128565	1243920 Galium obtusum 		 Rubiaceae	Elizabeth C. Almendinger	: 06/04/1860
128566	1243921 Galium obtusum 		 Rubiaceae	Carl D. LaRue	: 09/04/1915
128572	1243927 Galium obtusum 		 Rubiaceae	Calvin H. Kauffman	: 06/23/1926
126108	1243265 Plantago rugelii 		 Plantaginaceae	Calvin H. Kauffman	: 07/11/1926
126146	 Agalinis tenuifolia 		 Orobanchaceae	Ray C. Friesner	: 08/13/1918
126153	1241536 Veronica peregrina 		 Plantaginaceae	Carl O. Grassl	4858: 06/03/1933
126156	1243299 Plantago rugelii 		 Plantaginaceae	James W. Hardin	791: 07/26/1955
126181	 Penstemon pallidus 		 Plantaginaceae	Frederick J. Hermann	7457: 06/07/1936
126182	1243302 Plantago rugelii 		 Plantaginaceae	Henry T. Mukai	4: 10/04/1950
126188	1241653 Veronica serpyllifolia 		 Plantaginaceae	Frederick J. Hermann	147: 05/28/1928
126190	1241655 Veronica serpyllifolia 		 Plantaginaceae	A.J. Pieters	: 05/21/1892
126191	1241656 Veronica serpyllifolia 		 Plantaginaceae	Elizabeth C. Almendinger	: 05/15/1860
126199	1241993 Veronicastrum virginicum 		 Plantaginaceae	Elizabeth C. Almendinger	: 07/06/1860
126225	1241670 Veronica serpyllifolia 		 Plantaginaceae	A.N. Collins	: 06/12/1882
126252	 Aureolaria pedicularia 		 Orobanchaceae	Ray C. Friesner	: 09/04/1918
126274	1241658 Veronica serpyllifolia 		 Plantaginaceae	Julius P Romein	: 00/00/1915
126278	1241662 Veronica serpyllifolia 		 Plantaginaceae	A.J. Pieters	: 05/21/1892
126281	1241619 Veronica serpyllifolia 		 Plantaginaceae	Volney M. Spalding	: 05/29/1880
126287	1241542 Veronica peregrina 		 Plantaginaceae	Julius P Romein	: 05/08/1915
126302	1241992 Veronicastrum virginicum 		 Plantaginaceae	Paul J. Podolski	: 07/20/1917
126303	1241991 Veronicastrum virginicum 		 Plantaginaceae	Carl D. LaRue	: 07/26/1915
126310	1241544 Veronica peregrina 		 Plantaginaceae	Elizabeth C. Almendinger	: 06/01/1861
126312	1241545 Veronica peregrina 		 Plantaginaceae	Carl D. LaRue	: 06/18/1915
126313	1241546 Veronica peregrina 		 Plantaginaceae	John H. Ehlers	1903: 05/09/1922
126333	1241978 Veronicastrum virginicum 		 Plantaginaceae	George B. Sudworth	189: 07/13/1884
128691	1244221 Galium triflorum 		 Rubiaceae	A.B. Lyons, M.D.	: 00/00/1868
128740	1244161 Galium trifidum 		 Rubiaceae	Eileen W. Erlanson	5337: 09/01/1927
128765	1244685 Mitchella repens 		 Rubiaceae	Carl O. Grassl	4914: 04/20/1933
128784	1244211 Galium triflorum 		 Rubiaceae	Elizabeth C. Almendinger	: 08/20/1861
128806	1244077 Galium tinctorium 		 Rubiaceae		: 08/30/1915
128846	1244240 Galium triflorum 		 Rubiaceae	Carl D. LaRue	: 07/26/1915
128876	1244150 Galium trifidum 		 Rubiaceae	Peter W. Fritsch	321: 08/16/1986
128892	1244543 Galium triflorum 		 Rubiaceae	Paul J. Podolski	: 07/02/1917
129007	1245822 Lonicera dioica 		 Caprifoliaceae	Eileen W. Erlanson	922: 05/27/1925
129011	1245795 Lonicera dioica 		 Caprifoliaceae	Elizabeth C. Almendinger	: 05/19/1860
129014	1245777 Lonicera dioica 		 Caprifoliaceae	Elizabeth C. Almendinger	: 05/25/1860
129074	1245180 Mitchella repens 		 Rubiaceae	Frederick J. Hermann	9413: 05/12/1938
129169	1245784 Lonicera dioica 		 Caprifoliaceae	Carl D. LaRue	: 06/18/1914
129174	1245789 Lonicera dioica 		 Caprifoliaceae	Carl D. LaRue	: 05/30/1915
129192	1245255 Diervilla lonicera 		 Diervillaceae	John Wright	s.n.: 06/23/1838
129207	 Veronica arvensis 		 Plantaginaceae	Frederick J. Hermann	8558: 05/20/1937
129221	1245880 Lonicera maackii 		 Caprifoliaceae	Anton A. Reznicek	6641: 11/07/1981
129222	1245881 Lonicera maackii 		 Caprifoliaceae	Anton A. Reznicek	6168: 08/25/1980
129229	1246037 Sambucus canadensis 		 Adoxaceae	F.G. Gustafson & M. Best	: 08/20/1924
129279	1194452 Lonicera dioica 		 Caprifoliaceae	Cyrus L. Lundell	8238: 05/22/1939
129291	1246036 Sambucus canadensis 		 Adoxaceae	Carl D. LaRue	: 07/12/1915
129428	1245753 Lonicera dioica 		 Caprifoliaceae	George B. Sudworth	21: 05/24/1884
129452	1194445 Lonicera japonica 		 Caprifoliaceae	Anton A. Reznicek	8058: 10/19/1987
129475	 Veronica peregrina 		 Plantaginaceae	Frederick J. Hermann	8563: 05/21/1937
129508	 Veronica serpyllifolia 		 Plantaginaceae	John H. Ehlers	1464: 05/08/1921
129509	 Veronica serpyllifolia 		 Plantaginaceae	John H. Schaffner	: 00/00/1895
129530	1245821 Lonicera dioica 		 Caprifoliaceae		: 05/17/1870
129598	1246241 Sambucus racemosa 		 Adoxaceae	Carl O. Erlanson	2302: 07/31/1926
129608	1245978 Lonicera tatarica 		 Caprifoliaceae	George D. Sones	: 05/22/1891
129637	1246038 Sambucus canadensis 		 Adoxaceae	Carl O. Erlanson	825: 09/31/1924
129693	1246048 Sambucus canadensis 		 Adoxaceae	Elizabeth C. Almendinger	: 06/25/1860
129753	1246120 Sambucus canadensis 		 Adoxaceae	Carl D. LaRue	: 06/26/1915
129769	1245218 Lonicera dioica 		 Caprifoliaceae	A.B. Lyons, M.D.	: 00/00/1867
129830	1246283 Sambucus racemosa 		 Adoxaceae	Mark W. Harrington	: 00/00/1870
129861	1246276 Sambucus racemosa 		 Adoxaceae	Elizabeth C. Almendinger	: 05/12/1860
129899	1246691 Viburnum acerifolium 		 Adoxaceae	Carl O. Erlanson	821: 09/31/1924
129900	1246692 Viburnum acerifolium 		 Adoxaceae	Elizabeth C. Almendinger	: 06/05/1860
129903	1246695 Viburnum acerifolium 		 Adoxaceae	Jean Dawson	: 00/00/1903
129913	1246624 Viburnum acerifolium 		 Adoxaceae	Paul J. Podolski	82: 08/14/1917
129927	1246281 Sambucus racemosa 		 Adoxaceae	Eileen W. Erlanson	1612: 05/30/1926
129996	1246565 Triosteum aurantiacum 		 Caprifoliaceae	Carl O. Grassl	4835: 06/08/1932
130000	1246948 Viburnum lentago 		 Adoxaceae	Carl O. Grassl	3858: 05/30/1932
130004	1246952 Viburnum lentago 		 Adoxaceae	Ronald L. Stuckey	2558: 05/27/1965
130029	1246619 Viburnum acerifolium 		 Adoxaceae	Carl D. LaRue	: 09/16/1915
130030	1246620 Viburnum acerifolium 		 Adoxaceae	Carl D. LaRue	: 06/17/1914
130033	1246696 Viburnum acerifolium 		 Adoxaceae	Miss E. Penfield	: 06/09/1909
130036	1246699 Viburnum acerifolium 		 Adoxaceae	Carl O. Grassl	4848: 06/08/1932
130047	1248110 Viburnum rafinesquianum 		 Adoxaceae	Carl O. Grassl	4844: 06/08/1932
130066	1246673 Viburnum acerifolium 		 Adoxaceae	Lewis E. Foote	: 06/03/1863
130067	1246674 Viburnum acerifolium 		 Adoxaceae	Nathan H. Winchell	: 00/00/1862
130081	1248281 Dipsacus fullonum 		 Dipsacaceae	Carl D. LaRue	: 08/06/1915
130104	1246682 Viburnum acerifolium 		 Adoxaceae	Cyrus L. Lundell	9687: 10/02/1940
130106	1246684 Viburnum acerifolium 		 Adoxaceae	Cyrus L. Lundell	8310: 10/09/1939
130110	1246571 Triosteum aurantiacum 		 Caprifoliaceae	A.J. Pieters	: 05/31/1894
130128	1246539 Triosteum aurantiacum 		 Caprifoliaceae	Elizabeth C. Almendinger	: 05/28/1860
130143	1246554 Triosteum aurantiacum 		 Caprifoliaceae	Jean Dawson	: 00/00/1903
130149	1246607 Triosteum perfoliatum 		 Caprifoliaceae	Edwin B. Mains	: 06/10/1913
130164	1246657 Viburnum acerifolium 		 Adoxaceae	John Wright	s.n.: 06/20/1838
130191	1248149 Viburnum rafinesquianum 		 Adoxaceae	A.J. Pieters	: 08/18/1914
130224	1246918 Viburnum lentago 		 Adoxaceae	Eileen W. Erlanson	918: 05/27/1925
130225	1248144 Viburnum rafinesquianum 		 Adoxaceae	A.B. Lyons, M.D.	: 00/00/1867
130227	1248146 Viburnum rafinesquianum 		 Adoxaceae	Carl D. LaRue	s.n.: 08/24/1915
130229	1248148 Viburnum rafinesquianum 		 Adoxaceae	F.G. Gustafson & M. Best	: 08/20/1924
130230	1246882 Viburnum acerifolium 		 Adoxaceae	John Wright	s.n.: 06/19/1838
130264	1246913 Viburnum lentago 		 Adoxaceae	Lewis E. Foote	: 05/23/1863
130310	1248099 Viburnum prunifolium 		 Adoxaceae	Peter W. Fritsch	368: 05/17/1987
130316	1246919 Viburnum lentago 		 Adoxaceae	Carl O. Erlanson	832: 10/05/1924
130320	1246923 Viburnum lentago 		 Adoxaceae	Elizabeth C. Almendinger	: 05/21/1860
130817	1314346 Echinocystis lobata 		 Cucurbitaceae	Oliver A. Farwell	7037: 08/20/1924
130822	1248295 Dipsacus laciniatus 		 Dipsacaceae	Anton A. Reznicek	6394: 08/16/1981
130863	1248323 Campanulastrum americanum 		 Campanulaceae	Elizabeth C. Almendinger	: 07/31/1860
130864	1248324 Campanulastrum americanum 		 Campanulaceae	George B. Sudworth	219: 07/29/1884
130871	1314378 Sicyos angulatus 		 Cucurbitaceae	Jennie V.A. Dieterle	3262: 10/26/1969
130872	1195124 Sicyos angulatus 		 Cucurbitaceae	Jennie V.A. Dieterle	3262: 08/20/1969
130873	1314379 Sicyos angulatus 		 Cucurbitaceae	Jennie V.A. Dieterle	3262: 09/01/1969
130874	1314385 Sicyos angulatus 		 Cucurbitaceae		: 00/00/1870
130953	1248652 Campanula rotundifolia 		s.l. - Eastern tendency Campanulaceae	Frederick J. Hermann	8983: 07/05/1937
131010	1249163 Lobelia spicata 		 Campanulaceae	Eileen W. Erlanson	118: 06/30/1924
131047	1249210 Lobelia spicata 		 Campanulaceae	John Wright	s.n.: 06/21/1838
131071	1249032 Lobelia kalmii 		 Campanulaceae	A.J. Pieters	: 08/05/1892
131076	1249188 Lobelia spicata 		 Campanulaceae	Elizabeth C. Almendinger	: 06/18/1860
131081	1249174 Lobelia spicata 		 Campanulaceae	George B. Sudworth	88: 06/10/1884
131098	1248793 Lobelia cardinalis 		 Campanulaceae	Peter W. Fritsch	64: 08/18/1985
131105	1249249 Lobelia spicata 		 Campanulaceae	Peter W. Fritsch	226: 06/26/1986
131122	1248706 Campanula rotundifolia 		 Campanulaceae	Peter W. Fritsch	489: 08/30/1987
131187	1248810 Lobelia cardinalis 		 Campanulaceae	A.J. Pieters	: 08/08/1892
131197	1248821 Lobelia cardinalis 		 Campanulaceae	Elizabeth C. Almendinger	: 08/09/1860
131206	1249132 Lobelia siphilitica 		 Campanulaceae	Elizabeth C. Almendinger	: 08/09/1860
131209	1003122 Lobelia siphilitica 		 Campanulaceae		: 09/09/1876
131212	1248718 Campanula rotundifolia 		s.l. - Eastern tendency Campanulaceae	George B. Sudworth	159: 07/09/1884
131265	1249033 Lobelia kalmii 		 Campanulaceae	Elizabeth C. Almendinger	: 08/06/1861
131272	1249197 Lobelia spicata 		 Campanulaceae	A.J. Pieters	: 06/08/1894
131279	1249086 Lobelia siphilitica 		 Campanulaceae	Peter W. Fritsch	91: 08/25/1985
131342	1249274 Triodanis perfoliata 		 Campanulaceae	Anton A. Reznicek	5090: 06/27/1979
131353	1249266 Triodanis perfoliata 		 Campanulaceae	Eileen W. Erlanson &  Frederick J. Hermann	5160: 06/29/1927
131355	1249118 Lobelia siphilitica 		 Campanulaceae	Carl D. LaRue	: 09/04/1915
131361	1249173 Lobelia spicata 		 Campanulaceae	George B. Sudworth	88a: 06/10/1884
131373	1248962 Lobelia kalmii 		 Campanulaceae	Peter W. Fritsch	110: 09/15/1985
131374	1248963 Lobelia kalmii 		 Campanulaceae	Peter W. Fritsch	76: 08/19/1985
131596	1249191 Lobelia spicata 		 Campanulaceae	John H. Ehlers	1483: 06/10/1921
131599	1249194 Lobelia spicata 		 Campanulaceae	Eileen W. Erlanson & S.H. Emerson	: 06/26/1927
131768	 Galium triflorum 		 Rubiaceae	C. Marvin Rogers	3950: 08/31/1946
131794	 Galium trifidum 		 Rubiaceae	C. Marvin Rogers	3826: 07/27/1946
131808	 Galium boreale 		 Rubiaceae	C. Marvin Rogers	3817: 07/27/1946
131898	 Galium triflorum 		 Rubiaceae	C. Marvin Rogers	3835: 07/21/1946
