"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-26","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-27","0.43"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-28","0.08"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-29","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-30","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-31","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-01","1.84"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-02","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-03","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-04","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-05","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-06","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-07","1.10"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-08","0.15"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-09","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-10","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-11","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-12","0.02"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-13","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-14","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-15","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-16","0.01"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-17","0.14"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-18","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-19","0.75"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-20","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-21","0.33"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-22","0.10"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-23","0.07"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-24","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-25","0.01"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-26","0.17"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-27","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-28","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-29","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-30","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-08-31","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-01","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-02","0.62"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-03","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-04","1.13"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-05","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-06","0.40"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-07","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-08","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-09","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-10","0.10"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-11","0.05"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-12","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-13","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-14","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-15","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-16","0.00"
