STATION,STATION_NAME,DATE,HPCP
COOP:200230,ANN ARBOR U OF MICH MI US,20010224 19:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010224 20:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20010224 21:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010225 00:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010225 02:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20010225 03:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010225 05:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010225 06:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010301 01:00,0.00
COOP:200230,ANN ARBOR U OF MICH MI US,20010305 11:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010308 16:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010312 12:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010312 19:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010313 05:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010313 06:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010316 12:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010316 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010317 08:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010317 13:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010401 01:00,0.00
COOP:200230,ANN ARBOR U OF MICH MI US,20010401 09:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010401 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010401 18:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010406 06:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010406 07:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010407 03:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010407 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010410 05:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20010412 04:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010415 12:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20010415 13:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20010415 14:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20010415 16:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010416 03:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010420 09:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010420 11:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010421 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010421 11:00,0.30
COOP:200230,ANN ARBOR U OF MICH MI US,20010421 12:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010422 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010423 22:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010430 09:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010501 01:00,0.00
COOP:200230,ANN ARBOR U OF MICH MI US,20010507 20:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20010507 21:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20010508 02:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20010508 11:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010515 04:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010515 05:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010515 06:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010515 09:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010515 12:00,0.10
